"iata","name","city","country","country_code","lat","lon","timezone"
"AAA","Anaa Airport","Anaa","PF","PF","-17.3526","-145.509995","Pacific/Tahiti"
"AAB","Arrabury Airport","Tanbar","AU","AU","-26.69639","141.048718","UTC"
"AAC","El Arish International Airport","El Arish","EG","EG","31.055324","33.827964","Africa/Cairo"
"AAD","Adado Airport","Adado","SO","SO","6.095802","46.6375","UTC"
"AAE","Annaba Rabah Bitat Airport","Annaba","DZ","DZ","36.826781","7.81334","Africa/Algiers"
"AAF","Apalachicola Regional Airport","Apalachicola","US","US","29.727501","-85.027496","America/New_York"
"AAH","Aachen-Merzbrück Airport","Aachen","DE","DE","50.823055","6.186389","Europe/Berlin"
"AAI","Arraias Airport","Arraias","BR","BR","-13.025154","-46.884107","UTC"
"AAJ","Cayana Airstrip","Awaradam","SR","SR","3.898681","-55.577907","UTC"
"AAK","Aranuka Airport","Buariki","KI","KI","0.185278","173.636993","\N"
"AAL","Aalborg Airport","Aalborg","DK","DK","57.094763","9.84993","Europe/Copenhagen"
"AAM","Malamala Airport","Malamala","ZA","ZA","-24.816866","31.544085","Africa/Johannesburg"
"AAN","Al Ain International Airport","Al Ain","AE","AE","24.2617","55.6092","Asia/Dubai"
"AAO","Anaco Airport","Anaco","VE","VE","9.430225","-64.470726","America/Caracas"
"AAP","Aji Pangeran Tumenggung Pranoto International Airport","Samarinda","ID","ID","-0.374478","117.250128","America/Chicago"
"AAQ","Anapa Vityazevo Airport","Krasnyi Kurgan","RU","RU","45.002102","37.347301","Europe/Moscow"
"AAR","Aarhus Airport","Aarhus","DK","DK","56.303331","10.618286","Europe/Copenhagen"
"AAS","Apalapsili Airport","Apalapsili","ID","ID","-3.882495","139.310932","UTC"
"AAT","Altay Xuedu Airport","Altay","CN","CN","47.749886","88.085808","Asia/Shanghai"
"AAU","Asau Airport","Asau","WS","WS","-13.505132","-172.627888","UTC"
"AAV","Allah Valley Airport","Surallah","PH","PH","6.367903","124.752431","\N"
"AAX","Romeu Zema Airport","Araxá","BR","BR","-19.5632","-46.9604","America/Sao_Paulo"
"AAY","Al Ghaydah International Airport","Al Ghaydah","YE","YE","16.193341","52.174186","Asia/Aden"
"AAZ","Quezaltenango Airport","Quezaltenango","GT","GT","14.8656","-91.501999","America/Guatemala"
"ABA","Abakan International Airport","Abakan","RU","RU","53.740002","91.385002","Asia/Krasnoyarsk"
"ABB","Asaba International Airport","Asaba","NG","NG","6.204167","6.665278","Africa/Lagos"
"ABC","Albacete Airport / Los Llanos Air Base","Albacete","ES","ES","38.948502","-1.86352","Europe/Madrid"
"ABD","Abadan Ayatollah Jami International Airport","Abadan","IR","IR","30.367887","48.230075","Asia/Tehran"
"ABE","Lehigh Valley International Airport","Allentown/Bethlehem","US","US","40.651773","-75.442797","America/New_York"
"ABF","Abaiang Airport","Abaiang","KI","KI","1.79861","173.041","Pacific/Tarawa"
"ABG","Abingdon Downs Airport","Abingdon Downs","AU","AU","-17.608814","143.183531","UTC"
"ABH","Alpha Airport","Alpha","AU","AU","-23.652849","146.582668","\N"
"ABI","Abilene Regional Airport","Abilene","US","US","32.4113006592","-99.68190002440001","America/Chicago"
"ABJ","Félix-Houphouët-Boigny International Airport","Abidjan","CI","CI","5.26139","-3.92629","Africa/Abidjan"
"ABK","Kebri Dahar Airport","Kebri Dahar","ET","ET","6.732577","44.241339","Africa/Addis_Ababa"
"ABL","Ambler Airport","Ambler","US","US","67.105529","-157.855339","America/Anchorage"
"ABM","Northern Peninsula Airport","Bamaga","AU","AU","-10.946194","142.455081","Australia/Brisbane"
"ABN","Albina Airport","Albina","SR","SR","5.51272","-54.050098","America/Paramaribo"
"ABO","Aboisso Airport","Aboisso","CI","CI","5.461944","-3.234722","UTC"
"ABP","Atkamba Airport","Atkamba Mission","PG","PG","-6.06462","141.095173","UTC"
"ABQ","Albuquerque International Sunport","Albuquerque","US","US","35.039976","-106.608925","America/Denver"
"ABR","Aberdeen Regional Airport","Aberdeen","US","US","45.449100494384766","-98.42179870605469","America/Chicago"
"ABS","Abu Simbel Airport","Abu Simbel","EG","EG","22.374402","31.609881","Africa/Cairo"
"ABT","King Saud Bin Abdulaziz (Al Baha) Airport","Al-Baha","SA","SA","20.298506","41.636153","Asia/Riyadh"
